City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,panjakent,39.4952,67.6093,15.17,63,85,1.8,TJ,1711502494
232,carroll,39.5501,-77.0164,9.02,90,100,3.58,US,1711537165
233,zouerate,22.7187,-12.4521,24.55,20,1,4.68,MR,1711522001
234,pangody,65.85,74.4859,-25.81,100,42,2.04,RU,1711499704
235,wakkanai,45.4094,141.6739,1.16,82,2,4.02,JP,1711570879
236,xai-xai,-25.0519,33.6442,21.67,84,8,1.76,MZ,1711511523
237,tolanaro,-25.0319,46.9987,22.06,88,1,4.51,MG,1711508317
238,tual,-5.6667,132.75,28.74,75,100,2.92,ID,1711573909
239,dek'emhare,15.07,39.0475,17.42,70,4,2.85,ER,1711509757
240,oum hadjer,13.2954,19.6966,34.17,10,59,2.06,TD,1711514422
241,chinde,26.8418,88.0763,15.27,75,100,1.59,NP,1711497827
242,canto do buriti,-8.11,-42.9444,35.62,37,66,1.15,BR,1711529709
243,barra de santo antonio,-9.4047,-35.5072,28.6,68,94,4.58,BR,1711527939
244,fort bragg,35.139,-79.006,20.75,86,100,3.09,US,1711537740
245,bonanza,14.0289,-84.591,34.84,44,82,1.28,NI,1711539429
246,atbara,17.7022,33.9864,28.5,6,2,4.64,SD,1711510936
247,argo,37.6333,22.7333,18.21,68,71,1.69,GR,1711513294
248,bathsheba,13.2167,-59.5167,29.34,65,40,5.66,BB,1711533426
249,whitecourt,54.1502,-115.6855,6.04,56,13,4.07,CA,1711545963
250,mount gambier,-37.8333,140.7667,10.51,98,14,1.14,AU,1711572422
251,fuglafjordur,62.244,-6.814,3.26,74,95,17.57,FO,1711519445
252,aioun,16.6614,-9.6149,33.71,15,100,3.76,MR,1711521408
253,gorontalo,0.5412,123.0595,24.51,96,99,1.44,ID,1711576156
254,margaret river,-33.95,115.0667,14.42,87,0,1.18,AU,1711578531
255,lamu,-2.2717,40.902,27.84,76,54,2.72,KE,1711509521
256,malango,-2.9627,119.9001,22.19,97,100,0.79,ID,1711576959
257,tooele,40.5308,-112.2983,8.28,36,33,1.79,US,1711545599
258,bermejo,-32.8833,-68.8,31.4,35,6,2.6,AR,1711536222
259,reggane,26.7158,0.1714,24.02,8,0,4.08,DZ,1711518910
260,dabakala,8.3667,-4.4333,36.74,29,55,2.69,CI,1711520274
261,west lafayette,40.4259,-86.9081,4.21,63,100,3.09,US,1711539515
262,jishui,33.7333,115.4,10.07,96,97,3.06,CN,1711577474
263,loukhi,66.0764,33.0381,-10.45,94,53,1.44,RU,1711509604
264,alta,69.9689,23.2717,-5.41,69,0,5.14,NO,1711511524
265,kahna nau,31.3692,74.3653,21.02,78,75,10.29,PK,1711501038
266,mamuju,-2.6748,118.8885,25.61,92,100,0.86,ID,1711577198
267,jizzax,40.1158,67.8422,17.23,61,50,1.37,UZ,1711502424
268,tolga,34.7222,5.3785,19.92,30,22,8.9,DZ,1711517516
269,nema,57.5067,50.5011,-2.99,95,100,7.98,RU,1711505995
270,callao,-12.0667,-77.15,26.16,65,0,7.2,PE,1711537964
271,harburg,53.4667,9.9833,14.1,66,0,1.03,DE,1711515883
272,lata,40.1629,-8.3327,12.18,86,85,7.89,PT,1711520684
273,ancud,-41.8697,-73.8203,16.73,58,33,1.03,CL,1711537568
274,kingston,17.997,-76.7936,32.87,55,20,5.66,JM,1711537504
275,vadamadurai,10.4667,78.0833,26.31,74,26,2.52,IN,1711500452
276,coquimbo,-29.9533,-71.3436,20.27,73,19,2.56,CL,1711536792
277,sao vicente,-23.9631,-46.3919,24.97,78,100,3.13,BR,1711530724
278,horta,38.5333,-28.6333,14.8,71,75,14.4,PT,1711525589
279,saudarkrokur,65.7461,-19.6394,-2.83,76,8,2.02,IS,1711522243
280,pimenta bueno,-11.6725,-61.1936,27.35,91,84,2.56,BR,1711534130
281,cill airne,52.05,-9.5167,8.03,76,40,3.6,IE,1711520612
282,tyrnyauz,43.3828,42.9183,-1.03,83,83,3.02,RU,1711508319
283,ponta delgada,37.7333,-25.6667,15.4,72,75,14.92,PT,1711524896
284,speedway,39.8023,-86.2672,6.7,62,100,4.63,US,1711539376
285,new norfolk,-42.7826,147.0587,8.17,98,34,1.24,AU,1711570999
286,wladyslawowo,54.7909,18.4009,13.6,73,63,6.83,PL,1711513811
287,as suwayq,23.8494,57.4386,25.73,43,99,2.18,OM,1711505222
288,along,28.1667,94.7667,16.0,85,21,0.79,IN,1711496201
